Date,Time(UTC),Time(IST),Lat,Lang,Depth(KM),Magnitude,Region
2015-04-18,09:48:06,15:18:06,26.6 °N,92.4 °E,60,3.2,"Sonitpur,Assam"
2015-04-17,15:52:54,21:22:54,15.9 °S,178.4 °W,10,6.2,Fiji
2015-04-17,00:20:14,05:50:14,26.3 °N,92.4 °E,10,3.8,"Marigaon,Assam"
2015-04-16,22:05:49,03:35:49/17-04,26.8 °N,92.7 °E,10,4.8,"Sonitpur,Assam"
2015-04-16,18:07:42,23:37:42,35.2 °N,26.8 °E,10,6.1,Greece
2015-04-15,17:57:04,23:27:04,24.3 °N,95.9 °E,10,4.1,Myanmar
2015-04-12,23:39:37,05:09:37/13-04,24.1 °N,93.8 °E,60,3.5,"Chandel,Manipur"
2015-04-09,22:49:40,04:19:40,14.2 °N,92.9 °E,10,5.1,Andaman islands
2015-04-09,12:58:25,18:28:25,25.6 °N,91.5 °E,26,2.8,"West Khasi Hills,Meghalaya"
2015-04-09,11:19:55,16:49:55,26.6 °N,92.8 °E,10,3.1,"Sonitpur,Assam"
2015-04-08,01:43:46,07:13:46,21.9 °N,89.5 °E,10,4.5,Bangladesh
2015-04-03,12:45:22,18:15:22,10.6 °N,93.2 °E,100,4.0,"Andaman Islands,"
2015-04-02,04:10:09,09:40:09,17.8 °S,178.6 °W,543,6.1,"Fiji,"
2015-04-01,21:23:54,02:53:54/31-03,30.2 °N,79.4 °E,10,5.1,"Chamoli, Uttarakhand"
2015-03-30,19:56:48,01:26:48/31-03,24.6 °N,93.1 °E,10,3.0,Manipur-Assam Border
2015-03-30,08:18:01,13:48:01,15.4 °S,172.8 °W,10,6.0,Tonga Island
2015-03-30,07:56:54,13:26:54,15.3 °S,172.9 °W,10,6.0,Tonga Island
2015-03-29,23:48:33,05:18:33/30-03,4.7 °S,152.5 °E,55,7.5,Papua New Guinea
2015-03-29,01:03:02,06:33:02,27.9 °N,94.3 °E,10,3.4,Arunachal Pradesh
2015-03-28,22:28:53,03:58:53/29-03,0.3 °N,122.0 °E,130,6.1,Sulawesi Indonesia
2015-03-28,16:36:56,22:06:56,22.0 °S,68.3 °W,114,6.0,Northern Chile
2015-03-27,18:51:49,00:21:49/28-03,10.1 °N,93.5 °E,70,5.0,Andaman Islands
2015-03-27,03:39:08,09:09:08,02.7 °N,97.3 °E,17,5.0,Northern Sumatra Indonesia
2015-03-25,10:13:08,15:43:08,13.4 °N,91.9 °E,6,4.0,North Andaman Sea
2015-03-25,06:41:32,12:11:32,36.5 °N,71.5 °E,108,5.1,Afganistan
2015-03-23,23:27:45,04:57:45/24-03,26.1 °N,94.5 °E,20,3.5,Nagaland
2015-03-23,11:53:26,17:23:26,29.1 °N,77.5 °E,10,3.0,"Meerut,UP"
2015-03-23,10:13:56,15:43:56,23.7 °N,121.7 °E,68,6.0,Taiwan
2015-03-23,04:51:34,10:21:34,18.2 °S,69.1 °W,96,6.3,Northern Chile
2015-03-22,18:12:26,23:42:26,02.0 °N,89.6 °E,10,5.2,Indian ocean
2015-03-22,12:06:37,17:36:37,22.0 °N,92.9 °E,10,4.0,Myanmar-India Border
2015-03-22,10:20:19,15:50:19,25.4 °N,92.6 °E,44,3.7,Meghalaya
2015-03-21,17:44:37,23:14:37,36.4 °N,71.7 °E,86,5.1,"Hindukush Region,Afganistan"
2015-03-20,21:44:58,03:14:58/21-03,24.9 °N,94.6 °E,10,3.1,Manipur
2015-03-20,15:42:49,21:12:49,04.7 °S,154.7 °E,10,6.0,Solomon Islands
2015-03-19,09:41:55,15:11:55,24.0 °N,72.7 °E,05,3.5,"Mahesana,Gujarat"
2015-03-19,03:36:59,09:06:59,16.1 °N,80.9 °E,05,3.0,Andhra Pradesh
2015-03-19,02:14:58,07:44:58,36.8 °N,73.5 °E,10,3.8,India-Pak Border
2015-03-17,22:12:33,03:42:33/18-03,1.6 °N,126.3 °E,89,6.2,Molucca Sea
2015-03-17,15:28:41,20:58:41,24.5 °N,94.5 °E,98,4.0,Myanmar-India Border
2015-03-10,20:55:43,02:25:43/11-03,06.8 °N,72.9 °W,140,6.2,Northern Colombia
2015-03-07,10:58:20,16:28:20,25.1 °N,94.2 °E,30,3.1,Ukhrul-Manipur
2015-03-05,00:07:18,05:37:18,00.3 °N,97.1 °E,10,5.4,Northern Sumatra Indonesia
2015-02-27,13:45:05,19:15:05,07.3 °S,122.4 °E,540,6.8,Flores Sea
2015-02-26,21:59:02,02:29:02/27-02,34.6 °N,73.2 °E,10,5.3,Pakistan
2015-02-26,13:58:10,19:28:10,36.4 °N,71.0 °E,96,5.1,Afganistan
2015-02-25,00:39:24,06:09:24,16.7 °N,80.1 °E,10,4.0,"Guntur,Andra Pradesh"
2015-02-21,15:55:38,21:25:38,25.2 °N,94.3 °E,28,3.4,Ukhrul-Manipur
2015-02-21,10:13:56,15:43:56,39.9 °N,143.5 °E,20,6.0,"Off East Coast of Honshu,JAPAN"
2015-02-20,04:25:24,09:55:24,39.9 °N,143.5 °E,15,6.3,"Off East Coast of Honshu,JAPAN"
2015-02-19,13:18:34,18:48:34,16.4 °S,168.0 °E,10,6.6,Vanuatu Islands
2015-02-19,09:18:24,14:48:24,26.6 °N,96.2 °E,10,3.8,Myanmar
2015-02-18,04:07:49,09:37:49,24.1 °N,93.7 °E,30,3.6,"Churachandpur, Manipur"
2015-02-16,23:06:30,04:36:30/17-02,39.9 °N,142.8 °E,10,6.7,"Off. East Coast of Honshu, Japan"
2015-02-16,22:00:55,03:30:55/17-02,55.6 °S,28.3 °W,10,6.2,South Sandwich Island
2015-02-15,14:14:16,19:44:16,34.1 °N,75.2 °E,10,4.2,Jammu and Kashmir
2015-02-14,17:06:51,22:36:51,26.7 °N,87.6 °E,10,3.8,Nepal Border
2015-02-13,18:59:13,00:29:13/14-02,52.6 °N,31.8 °W,10,6.8,North Mid Atlantic Ridge
2015-02-12,15:32:52,21:02:52,24.0 °N,94.0 °E,50,3.5,"Manipur, Chandel"
2015-02-12,14:32:59,20:02:59,24.2 °N,94.0 °E,90,5.0,Manipur
2015-02-12,08:19:35,13:49:35,34.0 °N,74.1 °E,14,3.5,Jammu & Kashmir
2015-02-11,18:57:17,00:27:17/12-02,22.9 °S,66.4 °W,174,6.5,"Jujuy,Argentina"
2015-02-11,14:32:27,20:02:27,01.6 °N,98.1 °E,10,5.0,"Northern Sumatra, Indonesia"
2015-02-11,03:30:11,09:00:11,13.2 °N,92.2 °E,20,5.3,North Andaman Islands Region
2015-02-09,14:13:10,19:43:10,09.2 °N,93.3 °E,10,4.7,"Nicobar Islands, India"
2015-02-07,23:35:59,05:05:59/08-02,36.7 °N,73.3 °E,70,4.5,Northwestern Kashmir
2015-02-06,22:39:27,04:09:27/07-02,25.4 °N,94.6 °E,15,3.5,UKHRUL-MANIPUR
2015-02-06,13:13:09,18:43:09,26.9 °N,91.9 °E,10,3.5,DARRANG-ASSAM
2015-02-04,10:44:17,16:14:17,33.0 °N,83.4 °E,10,5.3,"Xizang,China"
2015-02-03,09:28:11,14:58:11,25.9 °N,91.2 °E,11,3.5,"Kamrup,Assam"
2015-02-02,11:04:36,16:34:36,4.3 °N,96.2 °E,150,5.2,"North Sumatra,Indonesia"
2015-02-02,10:49:49,16:19:49,32.6 °S,67.1 °W,171,6.3,"San Luis,Argentina"
2015-02-01,21:30:47,16:00:47,26.4 °N,93.2 °E,10,4.1,"Karbi Anglong,Assam"
2015-01-31,21:11:11,02:41:11/01-02,24.3 °N,94.1 °E,85,3.4,Manipur
2015-01-31,13:59:47,19:29:47,28.2 °N,83.8 °E,10,4.6,Nepal
2015-01-28,02:43:21,08:13:21,20.9 °S,178.3 °W,500,6.2,Fiji Islands
2015-01-27,00:53:25,06:23:25,1.2 °N,97.3 °E,40,5.5,"Northern Sumatra,Indonesia"
2015-01-26,18:29:27,23:59:27,12.5 °N,92.8 °E,50,4.5,Middle Andaman Island
2015-01-24,16:11:32,21:41:32,25.1 °N,95.0 °E,10,4.8,Myanmar-India Border Region
2015-01-23,04:48:54,10:18:54,30.0 °N,81.6 °E,10,3.2,Nepal-India(Uttarakhand)Border
2015-01-23,03:47:25,09:17:25,17.0 °S,168.4 °E,198,6.6,Vanuatu Islands
2015-01-23,00:29:44,05:59:44,12.9 °N,92.8 °E,38,4.5,Andaman Islands
2015-01-22,07:43:14,13:13:14,12.9 °N,93.0 °E,15,4.0,North Andaman Island
2015-01-15,01:33:01,07:03:01,22.6 °N,92.5 °E,5,4.0,India-Bangladesh Border
2015-01-14,15:49:52,21:19:52,28.9 °N,77.0 °E,5,3.3,"Sonipat,Haryana"
2015-01-13,06:33:56,12:03:56,24.6 °N,94.0 °E,10,3.2,Manipur
2015-01-10,13:06:36,18:36:36,11.0 °N,93.5 °E,117,4.9,Andaman Island
2015-01-09,22:59:13,04:29:13/10-01,02.7 °N,96.1 °E,48,5.4,West coast of Aceh
2015-01-05,19:41:40,01:11:40/06-01,29.0 °N,81.8 °E,05,4.2,Nepal
2015-01-05,09:20:15,14:50:15,24.1 °N,93.7 °E,10,3.7,"Churachandpur, Manipur"
2015-01-02,07:23:34,12:53:34,24.1 °N,93.9 °E,20,3.5,Manipur
2016

2016-12-29,22:30:10,04:00:10/2016-12-30,9.2 °S,118.6 °E,120,6.3,"Sumbawa Region, Indonesia"
2016-12-27,21:21:53,02:51:53/2016-12-28,12.7 °N,94.1 °E,48,4.2,ANDAMAN ISLANDS
2016-12-26,22:26:55,03:56:55/2016-12-27,31.4 °N,77.2 °E,10,3.2,"Mandi, Himachal Pradesh"
2016-12-26,16:17:18,21:47:18,25.7 °N,74.2 °E,10,3.5,"Distt-RAJSAMAND-BHILWARA, RAJASTHAN"
2016-12-26,08:45:48,14:15:48,30.8 °N,77.9 °E,10,3.5,"District.Dehradun,Uttrakhand"
2016-12-26,08:45:48,14:15:48,30.8 °N,77.9 °E,10,3.5,"District-Dehradun,Uttarakhand"
2016-12-25,14:22:23,19:52:23,43.3 °S,74.0 °W,10,7.5,SOUTHERN CHILE
2016-12-23,04:56:16,10:26:16,12.5 °N,92.3 °E,13,4.5,ANDAMAN ISLANDS
2016-12-21,21:53:26,03:23:26/2016-12-22,24.2 °N,94.2 °E,11,3.8,"CHANDEL,MANIPUR"
2016-12-21,16:43:57,22:13:57,21.5 °N,145.4 °E,10,6.1,MARIANA ISLANDS REGION
2016-12-21,00:17:23,05:47:23,7.5 °S,127.8 °E,190,6.5,BANDA SEA
2016-12-20,08:56:18,14:26:18,27.0 °N,92.6 °E,15,3.1,"WEST KAMENG, ARUNACHAL PRADESH"
2016-12-20,07:01:20,12:31:20,26.6 °N,92.8 °E,35,3.6,"Sonitpur, Assam"
2016-12-20,04:21:28,09:51:28,10.2 °S,161.2 °E,10,6.5,Solomon Islands
2016-12-19,17:14:02,22:44:02,24.9 °N,94.1 °E,70,3.2,"SENAPATI,MANIPUR"
2016-12-19,04:31:56,10:01:56,30.9 °N,78.0 °E,10,3.4,"Uttarkashi, Uttarakhand"
2016-12-18,16:08:10,21:38:10,26.1 °N,92.2 °E,10,3.2,"MARIGAON, ASSAM"
2016-12-18,05:46:21,11:16:21,10.2 °S,161.3 °E,10,6.1,Solomon Island
2016-12-18,02:16:16,07:46:16,28.6 °N,94.9 °E,106,3.8,"Upper Siang, Arunachal Pradesh"
2016-12-17,17:26:00,22:56:00,33.8 °N,73.7 °E,10,4.6,India (J&K)- Pakistan Border Region
2016-12-17,11:27:36,16:57:36,5.7 °S,153.8 °E,60,6.0,New Ireland Region. P.N.G.
2016-12-17,10:51:12,16:21:12,4.6 °S,153.4 °E,110,7.5,"New Ireland Region, P.N.G"
2016-12-13,22:41:37,04:11:37/2016-12-14,30.9 °N,78.0 °E,5,3.4,"Uttarkashi, Uttarakhand"
2016-12-13,19:14:04,00:44:04/2016-12-14,30.8 °N,78.0 °E,5,3.9,"Dehradun, Uttarakhand"
2016-12-12,07:48:56,13:18:56,26.5 °N,93.5 °E,40,3.1,"KARBI ANGLONG, ASSAM"
2016-12-12,02:21:40,07:51:40,30.8 °N,78.2 °E,10,2.8,"UTTARKASHI, UTTARAKHAND."
2016-12-11,19:43:15,01:13:15/2016-12-12,25.3 °N,91.4 °E,33,3.2,"West Khasi Hills,Meghalaya"
2016-12-11,01:57:26,07:27:26,25.7 °N,91.7 °E,10,4.2,"West Khasi Hills, Meghalaya"
2016-12-09,19:10:06,00:40:06/2016-12-10,10.7 °S,161.2 °E,10,6.5,Solomon islands
2016-12-08,17:38:43,23:08:43,10.7 °S,161.3 °E,10,7.7,Solomon Islands
2016-12-08,14:49:48,20:19:48,40.6 °N,126.2 °W,10,6.6,Off Coast of North California
2016-12-08,09:36:01,15:06:01,8.9 °N,117.9 °E,10,6.0,"Palawan, Phillipines"
2016-12-08,09:33:05,15:03:05,25.4 °N,94.1 °E,5,3.2,"Distt. Senapati, Manipur"
2016-12-08,07:46:25,13:16:25,23.5 °N,94.2 °E,10,4.0,Myanmar - India (manipur) border region
2016-12-08,05:15:04,10:45:04,43.8 °N,86.4 °E,10,6.1,"Northern Xinjiang, China"
2016-12-07,05:21:23,10:51:23,23.5 °N,70.5 °E,20,3.6,"kachchh, Gujarat"
2016-12-06,22:03:38,03:33:38/2016-12-07,5.2 °N,96.2 °E,10,6.5,"Northern Sumatra , Indonesia"
2016-12-06,20:36:39,02:06:39/2016-12-07,24.9 °N,93.8 °E,33,3.2,"Senapati , Manipur"
2016-12-05,05:26:00,10:56:00,23.9 °N,94.2 °E,104,4.0,MYANMAR-INDIA(MANIPUR) BORDER REGION
2016-12-03,19:42:13,01:12:13/2016-12-04,11.0 °N,91.9 °E,10,4.8,Andaman Islands
2016-12-03,09:23:33,14:53:33,52.3 °N,174.4 °E,10,6.1,"Near Island, Aleutian Island."
2016-12-02,22:50:32,04:20:32/2016-12-03,33.3 °N,75.5 °E,10,3.5,Jammu and Kashmir.
2016-12-01,22:40:26,04:10:26/2016-12-02,15.3 °S,70.7 °W,10,6.2,Southern Peru
2016-12-01,22:03:05,03:33:05/2016-12-02,25.0 °N,94.6 °E,90,3.5,"Ukhrul, manipur"
2016-12-01,19:41:19,01:11:19/2016-12-02,27.2 °N,88.9 °E,10,3.5,Bhutan-India(Sikkim) Border region
2016-12-01,16:52:48,22:22:48,29.8 °N,80.6 °E,10,5.2,Nepal-India (Uttarakhand) Border Region
2016-11-30,22:42:48,04:12:48/2016-12-01,31.4 °N,77.5 °E,10,3.3,"Distt. Kullu, Himachal Pradesh."
2016-11-27,23:35:21,05:05:21/2016-11-28,27.7 °N,86.4 °E,10,5.5,Nepal
2016-11-25,19:37:58,01:07:58/2016-11-26,7.4 °N,92.4 °E,10,4.2,Nicobar Island.
2016-11-25,15:26:54,20:56:54,39.1 °N,74.2 °E,10,4.6,"Southren Xinjiang, China."
2016-11-25,14:24:30,19:54:30,39.2 °N,73.9 °E,10,6.3,Tajikistan -Xinjiang border region
2016-11-25,11:17:09,16:47:09,13.4 °N,92.9 °E,10,4.4,North Andaman Islands
2016-11-24,19:27:25,00:57:25/2016-11-25,17.3 °N,73.8 °E,10,4.0,"Koyna, Maharastra."
2016-11-24,18:43:53,00:13:53/2016-11-25,11.9 °N,88.9 °W,10,7.0,Off Coast of Central America.
2016-11-24,14:16:37,19:46:37,33.5 °N,72.5 °E,10,4.6,Pakistan.
2016-11-24,02:06:28,07:36:28,24.8 °N,94.9 °E,48,3.4,Myanmar -India(Manipur) Border Region
2016-11-23,19:57:54,01:27:54/2016-11-24,24.7 °N,94.6 °E,107,3.5,Myanmar -India(Manipur) Border Region
2016-11-23,17:02:50,22:32:50,26.4 °N,93.4 °E,10,3.1,"Karbi Anglong, Assam"
2016-11-23,02:31:03,08:01:03,30.3 °N,78.0 °E,10,3.4,"Distt-Dehradun, Uttarkhand"
2016-11-21,20:59:51,02:29:51/2016-11-22,37.4 °N,141.3 °E,10,7.0,"Near East Coast of Honshu,Japan"
2016-11-21,18:09:18,23:39:18,27.9 °N,91.6 °E,5,4.4,Bhutan-India (Arunachal Pradesh) Border Region
2016-11-20,21:13:46,02:43:46/2016-11-21,4.9 °N,92.7 °E,10,5.5,Off West Coast of Northern Sumatra
2016-11-20,20:57:33,02:27:33/2016-11-21,31.6 °S,68.7 °W,60,6.4,"San Juan Province, Argentina"
2016-11-17,04:10:41,09:40:41,26.6 °N,93.2 °E,30,3.3,NAGAON ASSAM
2016-11-16,22:58:56,04:28:56/2016-11-17,27.8 °N,76.7 °E,10,4.4,Rajasthan-Haryana Border.
2016-11-16,05:07:44,10:37:44,31.4 °N,75.7 °E,13,3.6,"District Jalandhar, Punjab"
2016-11-15,16:02:54,21:32:54,36.5 °N,70.8 °E,150,5.2,"Hindu Kush Region, Afghanistan"
2016-11-15,14:27:16,19:57:16,24.5 °N,93.7 °E,35,3.3,"Churachandpur, Manipur"
2016-11-15,02:10:22,07:40:22,24.7 °N,92.3 °E,10,5.0,"Distt. Karimganj, Assam."
2016-11-13,21:22:26,02:52:26/2016-11-14,10.6 °N,94.2 °E,45,4.6,Andaman Islands Region
2016-11-13,14:01:00,19:31:00,28.7 °S,67.5 °W,100,6.1,"La Rioja, Argentina"
2016-11-13,11:03:00,16:33:00,42.5 °S,173.0 °E,10,7.7,"South Island, New Zealand"
2016-11-08,00:37:25,06:07:25,26.6 °N,93.0 °E,36,3.5,"Sonitpur, Assam"
2016-11-03,04:06:54,09:36:54,23.7 °N,70.1 °E,25,3.3,"Kachchh, Gujarat."
2016-10-31,22:55:01,04:25:01/2016-11-01,26.4 °N,95.0 °E,70,3.2,Nagaland
2016-10-30,06:40:20,12:10:20,42.9 °N,13.2 °E,10,6.5,Central Italy.
2016-10-27,08:50:11,14:20:11,29.9 °N,80.1 °E,15,3.2,"Distt. Almora- Pithoragarh Border, Uttarakhand"
2016-10-27,08:17:56,13:47:56,1.3 °N,125.5 °E,10,6.0,Northren Molucca Sea
2016-10-26,19:18:09,00:48:09/2016-10-27,42.9 °N,13.1 °E,10,6.1,Central Italy
2016-10-26,06:29:07,11:59:07,23.1 °N,92.7 °E,45,4.8,"LUNGLEI,MIZORAM"
2016-10-26,02:21:58,07:51:58,22.8 °N,94.3 °E,90,5.0,Myanmar.
2016-10-25,22:00:28,03:30:28/2016-10-26,7.2 °N,92.4 °E,10,4.7,Nicobar Islands.
2016-10-24,10:51:57,16:21:57,34.9 °N,72.9 °E,115,4.5,India (Jammu & Kashmir)- Pakistan Border Region.
2016-10-24,10:51:57,16:21:57,34.9 °N,72.9 °E,115,4.5,India (Jammu & Kashmir)- Pakistan Border Region
2016-10-23,22:57:51,04:27:51/2016-10-24,24.2 °N,71.2 °E,1,3.0,"Dist.-KACHCHH, GUJARAT."
2016-10-23,15:57:40,21:27:40,25.9 °N,90.1 °E,10,4.7,"DHUBURI, ASSAM."
2016-10-22,06:00:32,11:30:32,26.2 °N,92.7 °E,10,3.9,"NAGAON, ASSAM."
2016-10-21,13:04:57,18:34:57,24.8 °N,91.1 °E,10,4.2,India(Meghalaya)-Bangladesh Border Region.
2016-10-21,05:07:24,10:37:24,35.3 °N,133.7 °E,10,6.1,"Western Honshu, JAPAN."
2016-10-20,00:39:01,06:09:01,36.4 °N,71.4 °E,102,5.4,Afghanistan-Tajikistan Border Region.
2016-10-19,07:20:49,12:50:49,24.7 °N,91.0 °E,40,4.3,India (Meghalya)- Bangladesh Border region
2016-10-19,00:25:29,05:55:29,4.9 °S,108.2 °E,600,6.2,JAVA SEA
2016-10-18,21:31:33,03:01:33/2016-10-19,22.9 °N,92.5 °E,147,3.5,"LUNGLIE,MIZORAM"
2016-10-17,06:14:53,11:44:53,5.9 °S,148.6 °E,33,6.6,"NEW BRITAIN REGION,PAPUA NEW GUINEA"
2016-10-17,00:30:48,06:00:48,29.6 °N,80.3 °E,10,4.0,India(Uttarakhand)-Nepal Border Region
2016-10-14,10:34:36,16:04:36,25.6 °N,92.0 °E,10,3.6,East Khasi Hills.
2016-10-14,02:01:25,07:31:25,29.7 °N,80.2 °E,10,3.3,"Pithogarh, Uttarakhand."
2016-10-11,22:31:00,04:01:00/2016-10-12,05.8 °N,76.0 °E,10,5.3,Lakshadweep Sea.
2016-10-07,04:52:33,10:22:33,27.7 °N,86.1 °E,15,4.5,Nepal.
2016-10-06,14:47:57,20:17:57,26.5 °N,92.9 °E,37,4.4,"NAGAON,ASSAM"
2016-10-03,21:16:03,02:46:03/2016-10-04,25.0 °N,94.6 °E,114,3.7,"UKHRUL,MANIPUR"
2016-10-01,08:04:43,13:34:43,34.4 °N,73.8 °E,10,5.2,INDIA (JAMMU & KASHMIR)-PAKISTAN BORDER
2016-09-26,19:04:13,00:34:13/2016-09-27,8.0 °N,94.5 °E,10,4.7,NICOBAR ISLANDS
2016-09-25,21:41:36,03:11:36/2016-09-26,30.5 °N,78.9 °E,10,3.7,"RUDRAPRAYAG,UTTARAKHAND"
2016-09-25,20:43:52,02:13:52/2016-09-26,23.7 °N,70.2 °E,19,3.5,"RANN OF KACHCHH,GUJURAT"
2016-09-24,21:28:41,02:58:41/2016-09-25,19.8 °S,178.3 °W,580,6.8,Fiji Islands Region
2016-09-24,21:07:14,02:37:14/2016-09-25,18.1 °S,175.0 °W,180,6.4,Tonga Islands Region
2016-09-24,18:00:05,23:30:05,25.9 °N,94.9 °E,66,3.4,"Tuensang, Nagaland"
2016-09-23,22:53:03,04:23:03/2016-09-24,6.6 °N,126.5 °E,10,6.4,"Mindanao,Philippines"
2016-09-23,22:27:20,03:57:20/2016-09-24,8.4 °N,94.6 °E,10,4.6,NICOBAR ISLANDS REGION
2016-09-23,00:14:35,05:44:35,34.5 °N,141.4 °E,10,6.2,Off East Coast Of Honshu Japan
2016-09-20,23:06:01,04:36:01/2016-09-21,23.8 °N,70.3 °E,5,3.4,"KACHCHH,GUJARAT"
2016-09-20,21:59:20,03:29:20/2016-09-21,26.8 °N,92.5 °E,10,3.0,"Sonitpur, Assam"
2016-09-18,14:34:36,20:04:36,26.7 °N,88.3 °E,10,3.2,"DARJILING, WEST BENGAL"
2016-09-18,05:28:58,10:58:58,26.9 °N,93.6 °E,10,3.2,"SONITPUR, ASSAM"
2016-09-17,11:17:58,16:47:58,27.1 °N,90.0 °E,25,4.4,Bhutan.
2016-09-17,02:46:25,08:16:25,24.5 °N,93.6 °E,40,4.0,"CHURACHANDPUR,MANIPUR"
2016-09-15,02:30:45,08:00:45,10.1 °N,91.6 °E,10,5.2,ANDAMAN ISLANDS
2016-09-13,21:52:13,03:22:13/2016-09-14,25.0 °N,93.8 °E,21,3.7,"SENAPATI,MANIPUR ."
2016-09-11,21:46:10,03:16:10/2016-09-12,26.6 °N,92.6 °E,30,3.2,"Sonitpur, Assam ."
2016-09-11,08:00:37,13:30:37,17.4 °N,73.8 °E,10,3.6,"Koyna, Maharashtra"
2016-09-10,15:27:24,20:57:24,28.6 °N,76.6 °E,10,4.1,"Jhajjar, Haryana"
2016-09-08,21:46:21,03:16:21/2016-09-09,54.6 °S,158.3 °E,10,6.1,Macquarie Island Region
2016-09-08,20:46:48,02:16:48/2016-09-09,26.6 °N,89.4 °E,10,3.5,"Jalpaiguri, West Bengal"
2016-09-07,22:21:17,03:51:17/2016-09-08,28.4 °N,95.0 °E,10,3.8,"Distt.- East Siang, Arunachal Pradesh"
2016-09-07,20:52:45,02:22:45/2016-09-08,24.3 °N,70.5 °E,10,3.9,"Kachchh, Gujrat"
2016-09-05,07:52:36,13:22:36,27.1 °N,94.6 °E,10,3.4,"Distt.Sibsagar, Assam"
2016-09-05,02:04:16,07:34:16,27.7 °N,86.2 °E,10,4.5,Nepal
2016-09-03,17:39:44,23:09:44,28.5°N,76.6 °E,10,2.2,"DISTRICT JHAJJAR,HARYANA"
2016-09-03,11:41:14,17:11:14,26.3°N,92.0 °E,10,3.4,"DARRANG,ASSAM"
2016-09-03,01:07:59,06:37:59,24.6 °N,94.3 °E,104,3.8,"UKHRUL,MANIPUR"
2016-09-02,14:30:58,20:00:58,28.7 °N,94.7 °E,10,4.6,"WEST SIANG,ARUNACHAL PRADESH"
2016-09-01,16:37:59,22:07:59,37.3 °S,178.9 °E,15,6.9,"OFF EAST COAST OF N ISLANDS,NEW ZEALAND"
2016-08-31,23:24:02,04:54:02/2016-09-01,26.6 °N,92.0 °E,10,3.0,"Darrang, Assam"
2016-08-31,03:11:35,08:41:35,3.6 °S,152.8 °E,500,6.5,"NEW Ireland Region ,P.N.G"
2016-08-31,01:26:52,06:56:52,24.8 °N,93.3 °E,27,3.2,"Tamenglong, Manipur."
2016-08-29,04:29:59,09:59:59,0.1 °N,17.9 °W,10,7.0,North of Ascension Island
2016-08-28,19:41:11,01:11:11/2016-08-29,25.7 °N,90.8 °E,10,3.6,"East Garo Hills, Meghalaya"
2016-08-28,12:54:51,18:24:51,28.0 °N,88.7 °E,90,4.2,India (sikkim)- China Border Region
2016-08-28,10:01:01,15:31:01,25.7 °N,93.2 °E,10,3.2,"Distt. Karbi Anglong, Assam"
2016-08-28,09:18:49,14:48:49,32.8 °N,76.0 °E,20,4.4,"Distt. Chamba , Himachal Pradesh ."
2016-08-27,15:04:54,20:34:54,24.8 °N,93.5 °E,14,3.7,"Tamenglong, Manipur"
2016-08-27,07:07:21,12:37:21,31.3 °N,77.6 °E,10,3.7,SHIMLA-HIMACHAL PRADESH
2016-08-27,03:38:15,09:08:15,31.4 °N,77.4 °E,10,4.2,"Kullu, Himachal Pradesh."
2016-08-27,01:35:07,07:05:07,31.4 °N,77.5 °E,10,4.3,"Kullu, Himachal Pradesh."
2016-08-27,01:14:32,06:44:32,31.4 °N,77.5 °E,10,4.6,"Kullu, Himachal Pradesh."
2016-08-26,18:20:41,23:50:41,8.9 °N,94.6 °E,10,4.5,Nicobar islands.
2016-08-26,11:21:28,16:51:28,24.3 °N,94.2 °E,89,3.5,"CHANDEL, MANIPUR"
2016-08-24,10:34:57,16:04:57,21.0 °N,94.4 °E,58,6.7,Myanmar.
2016-08-24,01:36:33,07:06:33,42.6°N,13.2 °E,10,6.2,Central Italy
2016-08-23,02:11:13,07:41:13,23.8 °N,94.5 °E,100,5.5,Myanmar-India Border Region.
2016-08-23,00:00:47,05:30:47,25.6 °N,93.2 °E,10,3.1,"Karbi Anglong, Assam"
2016-08-22,09:20:11,14:50:11,28.1 °N,76.1 °E,10,3.5,"Mahendragarh, Haryana"
2016-08-22,05:28:28,10:58:28,25.5 °N,93.6 °E,10,3.5,"Kohima, Nagaland"
2016-08-21,09:04:17,14:34:17,25.1 °N,94.0 °E,19,3.1,"Senapati, Manipur"
2016-08-21,03:45:23,09:15:23,55.3 °S,31.8 °W,10,6.3,South Georgia Island Region
2016-08-20,21:24:28,02:54:28/2016-08-21,25.6 °N,93.2 °E,10,3.2,KARBI ANGLONG-ASSAM
2016-08-19,19:05:34,00:35:34/2016-08-20,27.6 °N,92.7 °E,10,4.0,"East Kameng, Arunachal Pradesh"
2016-08-19,10:46:34,16:16:34,25.0 °N,94.0 °E,38,3.5,"Manipur,Senapati"
2016-08-19,07:32:24,13:02:24,55.2 °S,32.0 °W,10,7.2,South Georgia Island Region
2016-08-18,20:05:54,01:35:54/2016-08-19,30.8 °N,78.2 °E,5,3.8,"Distt. Uttarkashi, Uttarakhand"
2016-08-13,15:41:03,21:11:03,30.0 °N,80.2 °E,10,2.7,"District Pithoragarh, Uttarakhand."
2016-08-12,01:26:35,06:56:35,22.5 °S,173.1 °E,10,7.0,Southeast of Loyalty Islands
2016-08-11,21:27:00,02:57:00/2016-08-12,25.6°N,91.1 °E,10,3.3,"West Khasi Hills,Meghalaya"
2016-08-11,10:55:15,16:25:15,7.6 °N,93.9 °E,10,5.3,"Nicobar Islands , India Region"
