State / MCD,Final Dispensary Name,Disease,Occurrence,Reported Date,Month,District / Zone,IPD/OPD,State District,Final Zone
State Hospital,Aacharyashree Bhiksha Hospital,Common Cold,5461,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Common Cold,6190,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Common Cold,3868,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Acute Respiratory Infection,1586,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Influenza,1548,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Influenza,1604,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Dental Problem/ Caries/ Cavity,2011,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Abdomen Pain,1157,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Dental Problem/ Caries/ Cavity,1030,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Acute Respiratory Infection,827,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Dental Problem/ Caries/ Cavity,2147,1/1/2016,January,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Fever,887,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Asthama,653,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Conjunctivitis,490,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Skin Disease/ Ringworm/ Scabies,685,3/1/2016,March,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Aacharyashree Bhiksha Hospital,Joint Pain/ Arthiritis,994,2/1/2016,February,Karol Bagh,OPD,West ,Karol Bagh
State Hospital,Attar Sain Jain Hospital,Tuberculosis,2,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Tuberculosis,1,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Tuberculosis,1,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Diarrhoea,48,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Diarrhoea,50,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Diarrhoea,63,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Hypertension,163,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Hypertension,191,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Hypertension,255,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Diabetes,56,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Diabetes,59,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Diabetes,113,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Cholera,20,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Cholera,19,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Cholera,9,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Typhoid,15,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Typhoid,15,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Typhoid,49,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Common Cold,501,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Eye Disease,1127,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Heart Disease/ Congestive Cardiac Failure/ Rheumatic Heart Disease,198,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Conjunctivitis,305,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Common Cold,1283,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Eye Disease,1782,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Heart Disease/ Congestive Cardiac Failure/ Rheumatic Heart Disease,211,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Conjunctivitis,345,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Whooping Cough,1142,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Eye Disease,2436,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Conjunctivitis,609,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Heart Disease/ Congestive Cardiac Failure/ Rheumatic Heart Disease,311,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Bodyache/ Headache,219,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Vomitting,213,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Vomitting,227,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Attar Sain Jain Hospital,Vomitting,487,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Diarrhoea,54,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Diarrhoea,80,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Diarrhoea,74,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Tuberculosis,30,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Tuberculosis,27,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Tuberculosis,35,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Hepatitis B,2,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Hepatitis B,1,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Hypertension,430,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Hypertension,377,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Hypertension,344,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Diabetes,615,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Diabetes,548,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Diabetes,489,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Typhoid,3,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Typhoid,18,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Typhoid,42,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Malaria,15,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Malaria,20,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Ayurvedic & Unani Tibbia College and hospital,Malaria,6,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Baba Saheb Ambedkar,Malaria,1,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Malaria,1,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Pulmonary Tuberculosis,1009,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Pulmonary Tuberculosis,1139,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Pulmonary Tuberculosis,1224,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hepatitis A,622,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hepatitis A,466,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hepatitis A,753,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hepatitis B,1,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Diarrhoea,1017,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Diarrhoea,1060,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Diarrhoea,1253,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hypertension,2181,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hypertension,2120,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Hypertension,2219,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Diabetes,3065,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Diabetes,2712,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Diabetes,2919,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Typhoid,406,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Typhoid,519,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,Typhoid,762,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,HIV/ AIDS,28,1/1/2016,January,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,HIV/ AIDS,17,2/1/2016,February,Rohini,OPD,North west,Rohini
State Hospital,Baba Saheb Ambedkar,HIV/ AIDS,5,3/1/2016,March,Rohini,OPD,North west,Rohini
State Hospital,central Jail,Tuberculosis,55,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Tuberculosis,58,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Tuberculosis,71,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,Hepatitis B,8,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Hepatitis B,7,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Hepatitis B,9,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,Hepatitis C,16,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Hepatitis C,24,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Hepatitis C,38,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,Diarrhoea,368,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Diarrhoea,408,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Diarrhoea,500,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,Hypertension,284,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Hypertension,298,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Hypertension,320,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,Diabetes,183,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Diabetes,192,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Diabetes,185,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,Typhoid,27,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,Typhoid,24,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,Typhoid,33,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,central Jail,HIV/ AIDS,59,1/1/2016,January,West,OPD,New Delhi ,West
State Hospital,central Jail,HIV/ AIDS,64,2/1/2016,February,West,OPD,New Delhi ,West
State Hospital,central Jail,HIV/ AIDS,69,3/1/2016,March,West,OPD,New Delhi ,West
State Hospital,Chacha nehru Bal Chikitsalaya,Tuberculosis,13,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Tuberculosis,12,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Tuberculosis,25,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Hepatitis B,1,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Hepatitis C,5,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Hepatitis C,1,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Diarrhoea,87,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Diarrhoea,63,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Diarrhoea,79,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Diabetes,3,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Diabetes,2,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Typhoid,14,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Typhoid,12,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Typhoid,14,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Acute Gastro Entritis (AGE),87,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Acute Gastro Entritis (AGE),63,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Septicemia,78,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Septicemia,67,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Pneumonia,341,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Pneumonia,267,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Acute Gastro Entritis (AGE),79,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Thalassemia,80,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Anaemia,22,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Thalassemia,88,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Epilepsy,60,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Pneumonia,208,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Meningitis,23,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Meningitis,14,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Epilepsy,44,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Stamach Pain,20,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Hernia,56,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Stamach Pain,20,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Septicemia,54,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Chronic Kidney Diseases (CKD),56,1/1/2016,January,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Asthama,15,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Seizure Disorders,40,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Nephritic Syndrome,10,2/1/2016,February,Shahdara South,OPD,East ,Shahdara South
State Hospital,Chacha nehru Bal Chikitsalaya,Nephritic Syndrome,20,3/1/2016,March,Shahdara South,OPD,East ,Shahdara South
State Hospital,Dadadev Mother & Child Hospital,Malaria,1,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Tuberculosis,2,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Tuberculosis,3,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Tuberculosis,4,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Hepatitis A,2,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Diarrhoea,134,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Diarrhoea,452,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Diarrhoea,754,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Hypertension,192,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Hypertension,180,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Hypertension,170,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Diabetes,180,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Diabetes,167,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Diabetes,164,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Typhoid,3,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Typhoid,7,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Typhoid,5,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Acute Respiratory Infection,1287,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Acute Respiratory Infection,2284,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Acute Respiratory Infection,2024,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Pneumonia,45,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Pneumonia,450,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Pneumonia,89,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Neurological Deficiency,13,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Neurological Deficiency,18,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Neurological Deficiency,10,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Asthama,11,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Asthama,9,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Asthama,10,3/1/2016,March,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Bronchitis,8,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Bronchitis,10,2/1/2016,February,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Heart Disease/ Congestive Cardiac Failure/ Rheumatic Heart Disease,5,1/1/2016,January,West,OPD,South west ,West
State Hospital,Dadadev Mother & Child Hospital,Bronchitis,6,3/1/2016,March,West,OPD,South west ,West
State Hospital,Deen Dayal Upadhyay,Diarrhoea,28,1/1/2016,January,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Tuberculosis,42,1/1/2016,January,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis B,5,1/1/2016,January,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Malaria,1,1/1/2016,January,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,HIV/ AIDS,3,1/1/2016,January,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis A,4,1/1/2016,January,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Diarrhoea,36,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis B,3,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Malaria,1,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis A,14,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Tuberculosis,37,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis A/ B/ C/ E,2,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,HIV/ AIDS,5,2/1/2016,February,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Diarrhoea,69,3/1/2016,March,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis B,6,3/1/2016,March,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Tuberculosis,23,3/1/2016,March,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,Hepatitis A,10,3/1/2016,March,West,OPD,West ,West
State Hospital,Deen Dayal Upadhyay,HIV/ AIDS,6,3/1/2016,March,West,OPD,West ,West
State Hospital,Delhi State Cancer Institution,Cancer,730,1/1/2016,January,Shahdara North,OPD,Shahdara,Shahdara North
State Hospital,Delhi State Cancer Institution,Cancer,729,2/1/2016,February,Shahdara North,OPD,Shahdara,Shahdara North
State Hospital,Delhi State Cancer Institution,Cancer,765,3/1/2016,March,Shahdara North,OPD,Shahdara,Shahdara North
State Hospital,Dr. N. C. Joshi Hospital,Tuberculosis,2,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Hepatitis A,1,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Diarrhoea,7,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Diarrhoea,16,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Diarrhoea,14,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Hypertension,168,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Hypertension,133,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Hypertension,85,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Diabetes,51,1/1/2016,January,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Diabetes,63,2/1/2016,February,Karol Bagh,OPD,Central,Karol Bagh
State Hospital,Dr. N. C. Joshi Hospital,Diabetes,65,3/1/2016,March,Karol Bagh,OPD,Central,Karol Bagh
